info_id,domain,information_needed,current_state,primary_source,granularity,historical_scope,pit_status,cost_status,provenance_status,key_gap,next_action
INF-001,Prediction market metadata,"conditionId tokenIds rules dates resolution market lifecycle",VERIFIED_EXISTING,Polymarket Gamma API,market/event,2025-2026 sample,VERIFIED,R$0,ART-003/DAT-001 audited,"historical PIT for mutable aggregate fields such as current volume/liquidity",Preserve current metadata lineage and distinguish static vs mutable fields
INF-002,Prediction market probability snapshots,"PIT probability at frozen horizons",VERIFIED_EXISTING,Polymarket CLOB price history,event-horizon,117-event panel,VERIFIED,R$0,ART-005/DAT-002 audited,"CRM api_gap at T-10",Preserve existing denominators and raw logs
INF-003,Dense prediction-market price trajectory,"minute/hour price path before cutoff",VERIFIED_EXISTING_WITH_PRE_CUTOFF_LIMITATIONS,Polymarket CLOB prices-history,token-timestamp,"1,593,454 YES rows and 3,186,908 YES+NO rows across 115/117 frozen events",VERIFIED_115_OF_117_PRE_CUTOFF,R$0,"IC-04 chunked absolute-window collection; 564 hashed raw chunk files; zero API errors/conflicting duplicates/bad rows; YES trajectory SHA256 2058dbdef714a378a0b8c117af2c68ef47b5caeea6aa6f4a0aa0094589dd8606","ANF|2026-05-27 and BRZE|2026-05-27 were not yet trading before cutoff; fidelity=1 is not assumed to create a perfectly regular grid",Use frozen YES trajectory as canonical probability path; retain event-level actual gap/recency metrics and treat the two unavailable events as missing not zero
INF-004,Public trade tape by market,"wallet side asset size price timestamp txHash outcome",VERIFIED_EXISTING_WITH_AUDIT_READY_SEMANTICS,Polymarket Data API + Polygon OrderFilled,trade-level,"117/117 structurally retrieved; 23,652 total rows; 12,752 pre-cutoff rows",VERIFIED_115_OF_117_PRE_CUTOFF,R$0,"IC-02 raw/hash audit + IC-03 full on-chain reconciliation; canonical tape SHA256 3563d3c1348a3cc78b13419f554195a306cc7f7ad70e330b4b3432c043f4ad96","ANF|2026-05-27 and BRZE|2026-05-27 structurally unavailable before cutoff; Data API size is noncanonical for 569 V1 FeeModule BUY rows",Use side_canonical price_canonical token_amount_gross_canonical and collateral_notional_canonical; retain api_size_raw only for lineage
INF-005,User activity history,"TRADE SPLIT MERGE REDEEM and wallet history",RETRIEVABLE_NEEDS_PILOT,Polymarket Data API /activity,activity-level,historical start/end filters supported,NEEDS_PILOT,R$0,official schema known,"coverage and interaction with proxyWallet identity",Pilot using IC-02/IC-03-frozen wallet and condition identifiers only if later data-completeness needs it
INF-006,Authoritative settlement direction,"maker taker makerAssetId takerAssetId fill amounts fee",VERIFIED_EXISTING,Polygon OrderFilled logs from frozen V1/V2 Polymarket Exchange contracts,trade/fill-level,"12,752 pre-cutoff trades",VERIFIED_FULL_FOR_AVAILABLE_TAPE,R$0,"IC-03: side 12,752/12,752; price 12,752/12,752; era 12,752/12,752; zero unresolved direction rows","no material direction gap for available tape; two events have no pre-cutoff market trading",Use side_canonical as the only signed-direction field in the later implementation audit
INF-007,CLOB V1 historical contract mapping,"legacy exchange address ABI/event semantics FeeModule interaction",VERIFIED_EXISTING,Polymarket ctf-exchange pinned source + historical FeeModule source,contract/trade-era,"11,729 reconciled V1 pre-cutoff rows",VERIFIED,R$0,"V1 exchange 0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e; pinned ctf-exchange commit ed5c7708b7be3aa98bf5f0c6602b57cc498e2ef4; historical FeeModule source commit f5b26a1ca0f56190df9ae5354beead35630f5176","Data API size differs from canonical gross amount in 569 FeeModule BUY rows; disclosed and isolated",Use on-chain gross token amount and collateral notional as canonical quantity fields
INF-008,CLOB V2 contract mapping,"current exchange address ABI/event semantics",VERIFIED_EXISTING,Polymarket ctf-exchange-v2 pinned source + migration docs,contract/trade-era,"1,023 reconciled V2 pre-cutoff rows",VERIFIED,R$0,"V2 exchange 0xe111180000d2663c0091e4f400237545b87b996b; pinned source commit ccc0596074f4dfd62c944fbca4de252893b82b4b; IC-03 era reconciliation 100%","no material mapping gap for available V2 tape",Reuse frozen V2 mapping and canonical IC-03 fields
INF-009,Historical L2 orderbook,"bid ask levels depth spread midpoint over historical event windows",NO_RETRO_HISTORICAL_L2_FIRST_PARTY_DOCUMENTED,Polymarket official CLOB docs/API/SDK surfaces,book-change/live,"frozen 2025-2026 sample has no documented first-party historical book archive",NOT_AVAILABLE_RETRO_CURRENT_EVIDENCE,R$0,"IC-05: official overview exposes current /book and /books; historical /prices-history; live market WebSocket; no documented historical timestamp parameter/archive for L2; official repo search found current/live client surfaces only","full resting/unfilled/cancelled book state cannot be reconstructed from on-chain settlement because matching/order state is off-chain and only matched executions settle on-chain",In later implementation audit mark techniques requiring historical full L2 as NO_GO_FOR_CURRENT_DATA; never substitute current book last trade or zero depth
INF-010,Current orderbook/depth,"book spread midpoint best bid ask depth",VERIFIED_REALTIME_ONLY,Polymarket CLOB /book /books /spread /midpoint,current snapshot,current/live only,REALTIME_ONLY,R$0,official schema + IC-05,"not usable retroactively for frozen past events",Use only prospective tooling/illustration; never merge into frozen historical sample
INF-011,Open interest history,"OI state through event window",RETRIEVABLE_NEEDS_PILOT,Polymarket Data API /oi,current query,history not documented,UNKNOWN_HISTORY,R$0,official endpoint,"historical PIT series not established",Determine whether onchain reconstruction is possible and worth materializing
INF-012,Holder/position concentration history,"wallet position shares through event window",RETRIEVABLE_NEEDS_PILOT,Polymarket Data API positions/market-positions,current/closed position,history PIT not established,UNKNOWN_HISTORY,R$0,official endpoint,"current snapshot cannot be used retroactively",Prefer reconstructing historical concentration from verified IC-03 trade/onchain flows where definition permits
INF-013,Wallet prior-skill history,"resolved prior trades/events only",RETRIEVABLE_NEEDS_PILOT,Polymarket trades/activity/closed positions,user-event,history exposed but PIT estimator not built,NEEDS_PILOT,R$0,official endpoints,"late entry proxy identity event-resolution timing and survival bias",Build information-only coverage map using frozen wallet identifiers only if later audit requires prior-skill data
INF-014,Prediction-market cumulative activity,"volume trade count wallet count signed flow through cutoff",RECONSTRUCTABLE_FROM_AUDIT_READY_TAPE_WITH_LIMITATIONS,IC-03 canonical audit-ready trade tape,event-window,"12,752 pre-cutoff rows; 115/117 events",VERIFIED_115_OF_117_PRE_CUTOFF,R$0,"IC-02 availability + IC-03 canonical direction/price/gross-token/notional semantics","density is heterogeneous; two markets not yet trading at cutoff must remain missing; feature-specific sample-complexity gates remain",Future audit may derive count gross-token volume collateral notional wallet participation and signed variants from canonical fields without looking at outcomes
INF-015,Equity daily OHLCV,"open high low close adjclose volume corporate actions",VERIFIED_EXISTING,Yahoo chart v8 DAT-007,daily,43,019 rows / 107 symbols,VERIFIED,R$0,ART-020/021 audited,"GAMB exclusion BLSH 60-session limitation",Reuse frozen raw dataset
INF-016,Equity intraday,"minute-level open-to-close lead-lag",UNKNOWN_REQUIRES_RESEARCH,No approved source in current project,intraday,not in DAT-007,UNKNOWN,UNKNOWN,none,"free PIT historical intraday route not established",Research only if a cross-market test strictly requires it
INF-017,Market benchmark,"SPY daily returns",VERIFIED_EXISTING,Yahoo chart v8 / SPY,daily,same DAT-007 period,VERIFIED,R$0,ART-020/021,"none material",Reuse frozen SPY
INF-018,Factor returns,"MKT-RF SMB HML RMW CMA momentum",RETRIEVABLE_NEEDS_PILOT,Kenneth French Data Library,daily,historical files available,NEEDS_VERSION_FREEZE,R$0,DAT-022 registered,"download version publication timing and hash not frozen",Download and hash only if required as robustness benchmark
INF-019,Event calendar and safe cutoff,"XNYS sessions event date cutoff",VERIFIED_EXISTING,exchange-calendars + SEC/IR,event-level,117 events,VERIFIED,R$0,"ART-004/005 plus IC-06: 117/117 daily safe cutoffs independently checked against prior XNYS close","none material for daily timing",Use registry/ic06_event_timing.csv as the canonical audit-facing daily timing table
INF-020,BMO AMC exact-release timing,"announcement session classification or exact timestamp",KNOWN_LIMITED_NOT_BROADLY_MATERIALIZED,Official SEC/Investor Relations evidence pipeline,event-level,"legacy intraday/T0 panel had 8/117 events with exact time or explicit session; broad daily panel intentionally does not infer session",INSUFFICIENT_FOR_BROAD_SAMPLE,R$0,"IC-06: daily timing 117/117; evidence composition 80 explicit datelines + 36 same-day validated exhibits + 1 official IR; connected artifacts do not expose identities/table of the 8 legacy intraday cases","BMO/AMC cannot be inferred from SEC acceptanceDateTime, event date, conference-call time or prior-close cutoff; broad per-event session labels are not materialized",For later audit treat BMO/AMC or exact-time techniques as data-limited/NO_GO unless a separate explicit timing collection is opened before audit freeze
INF-021,Official EPS outcome,"same-basis realized EPS independent of contract label",PARTIAL_EXISTING,SEC/Investor Relations,event-level,51/117 independently reconstructed,PIT_OUTCOME_AFTER_EVENT,R$0,ART-007,"66 events pending",Complete or freeze partial-coverage limitation
INF-022,SEC/IR historical fundamentals,"prior EPS SIC shares disclosure metadata",RETRIEVABLE_NEEDS_PILOT,SEC EDGAR + IR,event/company filing,history available with filing timestamps,NEEDS_PILOT,R$0,DAT-004/005 used,"normalized PIT dataset absent restatement/quarter rules needed",Define field-level extraction schema before collection
INF-023,Official text corpus,"release/filing text with timestamp and hash",PARTIAL_EXISTING,SEC EDGAR + IR,document/event,133 documents already involved in partial audit but not full corpus,NEEDS_MATERIALIZATION,R$0,partial hashes exist,"full event coverage and document selection rule absent",Build PIT document manifest before any NLP audit
INF-024,Macro announcement calendar,"concurrent macro-news state",UNKNOWN_REQUIRES_RESEARCH,Official US release calendars/event sources,event-time,not collected,UNKNOWN,R$0 likely,none,"source set and historical timestamps not frozen",Identify minimal official source set without outcome-driven selection
INF-025,Analyst consensus PIT,"historical analyst estimates/vintages",BLOCKED_ZERO_BUDGET,FactSet/LSEG/Bloomberg/Estimize routes audited,varies,not operational under R$0,FAILED_OPERATIONAL,R$0 constraint fails,ART-014/015,"no reproducible free PIT series",Keep closed unless genuinely free institutional access appears
INF-026,Options IV/skew PIT,"historical implied volatility and skew",BLOCKED_ZERO_BUDGET,No approved free source,option snapshot,not collected,UNKNOWN,R$0 not demonstrated,none,"no free PIT audited route",Do not assume availability; document structural gap
INF-027,Short interest/borrow,"PIT borrow availability fee short interest",UNKNOWN_REQUIRES_RESEARCH,No approved source,daily or lower frequency,not collected,UNKNOWN,UNKNOWN,none,"free historical PIT route not established",Research availability only; avoid reopening paid dependency
INF-028,External social/search attention,"historical search/social attention",BLOCKED_OR_UNKNOWN,No stable approved source,varies,not collected,UNKNOWN,R$0 not demonstrated,prior audit negative,"historical reproducibility access and revisions",Keep as information gap unless official stable source found
INF-029,Transaction cost assumptions,"long/short round-trip bps used in prior tests",VERIFIED_EXISTING,ART-023/024/025,rule-level,prior experiments,FROZEN_ASSUMPTION,R$0,audited experiment protocols,"not direct historical execution data",Preserve distinction between assumption and observed costs
INF-030,Historical equity spread/slippage,"bid-ask and implementation shortfall",UNKNOWN_REQUIRES_RESEARCH,No frozen source in DAT-007,intraday/execution,not collected,UNKNOWN,UNKNOWN,none,"daily OHLCV cannot reconstruct bid-ask spread",Only research if required for H5 beyond frozen cost model
INF-031,Stock borrow cost/availability,"short financing and locate state",UNKNOWN_REQUIRES_RESEARCH,No frozen source,daily,not collected,UNKNOWN,UNKNOWN,none,"reproducible free history uncertain",Treat separately from generic 35 bps short cost
INF-032,Research trial ledger,"all tried models/features/configurations",PARTIAL_EXISTING,Decision Log + artifacts + Git history,experiment-level,project history,PIT_GOVERNANCE,R$0,partially maintained,"new cross-strategy research must be added before testing",Create mandatory trial ID for every post-freeze experiment
INF-033,Artifact/claim consistency,"ART-022 metrics hashes ART-025 canonical ID",PARTIAL_EXISTING,Drive + GitHub registry,artifact-level,current project,N/A,R$0,known inconsistencies,"ART-022 conflict and stale ART-025 ID",Reconcile before final scientific freeze
